TIME,DATE,DEPTH,DEPTH2,DO_,DO_2,DO_3,id_station,id_stati_1,id_stati_2
2014-04-09 10:00,2014-04-09,13,25.9,6.6,6.6,0,東京湾（１２）,35.46083333,139.7480556
2014-05-14 09:00,2014-05-14,13,24.5,5.4,5.4,0,東京湾（１２）,35.46083333,139.7480556
2014-06-04 09:00,2014-06-04,13,26.1,5.8,5.8,0,東京湾（１２）,35.46083333,139.7480556
2014-07-02 10:00,2014-07-02,13,25.8,3.1,3.1,1,東京湾（１２）,35.46083333,139.7480556
2014-08-08 10:00,2014-08-08,13,25,0.1,0,1,東京湾（１２）,35.46083333,139.7480556
2014-09-03 10:00,2014-09-03,13,25.2,4.4,4.4,1,東京湾（１２）,35.46083333,139.7480556
2014-10-01 10:00,2014-10-01,13,25.2,3.3,3.3,1,東京湾（１２）,35.46083333,139.7480556
2014-11-05 09:00,2014-11-05,13,25.5,4.9,4.9,1,東京湾（１２）,35.46083333,139.7480556
2014-12-03 09:00,2014-12-03,13,25.3,6.1,6.1,0,東京湾（１２）,35.46083333,139.7480556
2015-01-07 11:00,2015-01-07,13,25.3,6.9,6.9,0,東京湾（１２）,35.46083333,139.7480556
2015-02-04 10:00,2015-02-04,13,25.3,8.3,8.3,0,東京湾（１２）,35.46083333,139.7480556
2015-03-04 09:00,2015-03-04,13,25.3,6.9,6.9,0,東京湾（１２）,35.46083333,139.7480556
2015-02-04 11:00,2015-02-04,13,25.5,9.1,9.1,0,東京湾（１２）,35.41916667,139.695
2015-01-07 11:00,2015-01-07,13,26.2,8.7,8.7,0,東京湾（１２）,35.41916667,139.695
2014-12-05 10:00,2014-12-05,13,26,6.1,6.1,0,東京湾（１２）,35.41916667,139.695
2014-11-05 11:00,2014-11-05,13,24.9,6.1,6.1,0,東京湾（１２）,35.41916667,139.695
2014-10-01 11:00,2014-10-01,13,25.5,4.6,4.6,1,東京湾（１２）,35.41916667,139.695
2014-09-03 10:00,2014-09-03,13,25.7,4.4,4.4,1,東京湾（１２）,35.41916667,139.695
2014-08-12 12:00,2014-08-12,13,25,3,3,1,東京湾（１２）,35.41916667,139.695
2014-07-02 11:00,2014-07-02,13,24.5,3.8,3.8,1,東京湾（１２）,35.41916667,139.695
2014-06-04 11:00,2014-06-04,13,25.9,11,11,0,東京湾（１２）,35.41916667,139.695
2014-05-14 11:00,2014-05-14,13,25.8,5.4,5.4,0,東京湾（１２）,35.41916667,139.695
2014-04-09 11:00,2014-04-09,13,25.5,7,7,0,東京湾（１２）,35.41916667,139.695
2015-03-04 11:00,2015-03-04,13,25.3,7.4,7.4,0,東京湾（１２）,35.41916667,139.695
2014-04-09 09:00,2014-04-09,13,13.3,9.6,9.6,0,東京湾（１２）,35.37,139.6733333
2014-05-14 09:00,2014-05-14,13,12.9,7.7,7.7,0,東京湾（１２）,35.37,139.6733333
2014-06-04 09:00,2014-06-04,13,13.4,5.6,5.6,0,東京湾（１２）,35.37,139.6733333
2014-07-02 09:00,2014-07-02,13,12.5,5.2,5.2,0,東京湾（１２）,35.37,139.6733333
